column_name,explanation
Loans Data columns ,
boost_loan_id,loan info
master_user_id,loan info
emi_amount,loan info
amount,loan amount
disbursed_at,loan info
Period,loan tenure
interest_rate,loan info
is_non_starter,Is the user paid at all 
no_of_paid_installments,loan info
no_of_missed_installments,loan info
max_dpd,Maximum of all instalments days past due 
current_dpd,Current days past due
,
,
Assessments data columns,
assessment_id,assessment info
age,user info
all_devices_count,user info
assessment_rules,assessment info
bank_sms_count,assessment info
bureau,assessment info
cc_american_express_count,credit card info
cc_avg_days_between_txns,credit card bureau info
cc_avg_monthly_txn_amount_12m,credit card bureau info
cc_avg_monthly_txn_amount_1m,credit card bureau info
cc_avg_monthly_txn_amount_2m,credit card bureau info
cc_avg_monthly_txn_amount_3m,credit card bureau info
cc_avg_monthly_txn_amount_6m,credit card bureau info
cc_avg_monthly_txn_count_12m,credit card bureau info
cc_avg_monthly_txn_count_1m,credit card bureau info
cc_avg_monthly_txn_count_2m,credit card bureau info
cc_avg_monthly_txn_count_3m,credit card bureau info
cc_avg_monthly_txn_count_6m,credit card bureau info
cc_avg_txn_amount_180d,credit card bureau info
cc_avg_txn_amount_30d,credit card bureau info
cc_avg_txn_amount_360d,credit card bureau info
cc_avg_txn_amount_60d,credit card bureau info
cc_avg_txn_amount_90d,credit card bureau info
cc_cards_count,credit card bureau info
cc_citibank_count,credit card bureau info
cc_hdfc_bank_count,credit card bureau info
cc_icici_bank_count,credit card bureau info
cc_kotak_bank_count,credit card bureau info
cc_max_monthly_txn_amount_12m,credit card bureau info
cc_max_monthly_txn_amount_1m,credit card bureau info
cc_max_monthly_txn_amount_2m,credit card bureau info
cc_max_monthly_txn_amount_3m,credit card bureau info
cc_max_monthly_txn_amount_6m,credit card bureau info
cc_max_txn_amount_180d,credit card bureau info
cc_max_txn_amount_30d,credit card bureau info
cc_max_txn_amount_360d,credit card bureau info
cc_max_txn_amount_60d,credit card bureau info
cc_max_txn_amount_90d,credit card bureau info
cc_median_days_between_txns,credit card bureau info
cc_median_monthly_txn_amount_12m,credit card bureau info
cc_median_monthly_txn_amount_1m,credit card bureau info
cc_median_monthly_txn_amount_2m,credit card bureau info
cc_median_monthly_txn_amount_3m,credit card bureau info
cc_median_monthly_txn_amount_6m,credit card bureau info
cc_median_monthly_txn_count_12m,credit card bureau info
cc_median_monthly_txn_count_1m,credit card bureau info
cc_median_monthly_txn_count_2m,credit card bureau info
cc_median_monthly_txn_count_3m,credit card bureau info
cc_median_monthly_txn_count_6m,credit card bureau info
cc_median_txn_amount_180d,credit card bureau info
cc_median_txn_amount_30d,credit card bureau info
cc_median_txn_amount_360d,credit card bureau info
cc_median_txn_amount_60d,credit card bureau info
cc_median_txn_amount_90d,credit card bureau info
cc_min_monthly_txn_amount_12m,credit card bureau info
cc_min_monthly_txn_amount_1m,credit card bureau info
cc_min_monthly_txn_amount_2m,credit card bureau info
cc_min_monthly_txn_amount_3m,credit card bureau info
cc_min_monthly_txn_amount_6m,credit card bureau info
cc_min_txn_amount_180d,credit card bureau info
cc_min_txn_amount_30d,credit card bureau info
cc_min_txn_amount_360d,credit card bureau info
